date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:43	129/129	---MC-	200	added ('OK')	text/plain	date:Wed,%2003%20Jul%202024%2017:17:42%20GMT	https://misterios-da-medicina.online/robots.txt		(from )
14:17:44	202971/202971	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2017:17:43%20GMT	https://misterios-da-medicina.online/	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/index.html	(from )
14:17:45	1712/1712	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2016%20May%202024%2020:39:30%20GMT	https://misterios-da-medicina.online/feed/	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/feed/index.html	(from https://misterios-da-medicina.online/)
14:17:45	118630/118630	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2015:39:42%20GMT	https://misterios-da-medicina.online/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.4	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/plugins/elementor/assets/css/frontend-lite.min021f.css	(from https://misterios-da-medicina.online/)
14:17:45	1677/1677	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2016%20May%202024%2020:39:30%20GMT	https://misterios-da-medicina.online/comments/feed/	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/comments/feed/index.html	(from https://misterios-da-medicina.online/)
14:17:46	16471/16471	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2015:39:43%20GMT	https://misterios-da-medicina.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://misterios-da-medicina.online/)
14:17:46	1107/1107	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2015:40:47%20GMT	https://misterios-da-medicina.online/wp-content/uploads/elementor/css/post-5.css?ver=1713022847	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/elementor/css/post-54e86.css	(from https://misterios-da-medicina.online/)
14:17:46	9475/9475	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2016:47:44%20GMT	https://misterios-da-medicina.online/wp-content/uploads/elementor/css/global.css?ver=1713026864	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/elementor/css/global776e.css	(from https://misterios-da-medicina.online/)
14:17:47	80446/80446	---M--	200	added ('OK')	text/css	date:Thu,%2016%20May%202024%2020:40:34%20GMT	https://misterios-da-medicina.online/wp-content/uploads/elementor/css/post-8.css?ver=1715892034	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/elementor/css/post-8cdcb.css	(from https://misterios-da-medicina.online/)
14:17:47	882/882	---M--	200	added ('OK')	text/xml	date:Wed,%2003%20Jul%202024%2017:17:48%20GMT	https://misterios-da-medicina.online/xmlrpc.php?rsd	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/xmlrpc0db0.php	(from https://misterios-da-medicina.online/)
14:17:48	182564/182564	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Jul%202024%2017:17:47%20GMT	https://misterios-da-medicina.online/wp-json/wp/v2/pages/8	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-json/wp/v2/pages/8.json	(from https://misterios-da-medicina.online/)
14:17:48	2129/2129	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Jul%202024%2017:17:48%20GMT	https://misterios-da-medicina.online/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmisterios-da-medicina.online%2F	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-json/oembed/1.0/embed7986.json	(from https://misterios-da-medicina.online/)
14:17:48	200227/200227	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Jul%202024%2017:17:48%20GMT	https://misterios-da-medicina.online/wp-json/	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-json/index.html	(from https://misterios-da-medicina.online/)
14:17:48	2291/2291	---MC-	200	added ('OK')	text/xml	date:Wed,%2003%20Jul%202024%2017:17:49%20GMT	https://misterios-da-medicina.online/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmisterios-da-medicina.online%2F&format=xml	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-json/oembed/1.0/embeda63a	(from https://misterios-da-medicina.online/)
14:17:48	37146/37146	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Apr%202024%2020:12:35%20GMT	https://misterios-da-medicina.online/wp-content/uploads/fbrfg/apple-touch-icon.png	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/fbrfg/apple-touch-icon.png	(from https://misterios-da-medicina.online/)
14:17:48	2453/2453	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Apr%202024%2020:12:35%20GMT	https://misterios-da-medicina.online/wp-content/uploads/fbrfg/favicon-32x32.png	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/fbrfg/favicon-32x32.png	(from https://misterios-da-medicina.online/)
14:17:49	1333/1333	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Apr%202024%2020:12:35%20GMT	https://misterios-da-medicina.online/wp-content/uploads/fbrfg/favicon-16x16.png	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/fbrfg/favicon-16x16.png	(from https://misterios-da-medicina.online/)
14:17:49	476/476	---M--	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2020:12:35%20GMT	https://misterios-da-medicina.online/wp-content/uploads/fbrfg/site.webmanifest	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/fbrfg/site.html	(from https://misterios-da-medicina.online/)
14:17:49	66945/66945	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2015%20Apr%202024%2020:12:35%20GMT	https://misterios-da-medicina.online/wp-content/uploads/fbrfg/safari-pinned-tab.svg	C:/Meus%20Sites/cfgc/misterios-da-medicina.online/wp-content/uploads/fbrfg/safari-pinned-tab.svg	(from https://misterios-da-medicina.online/)
